Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1872.621992297445
FDW14,OUT017,1373.9083795610386
NCN55,OUT010,3596.000380225938
FDQ58,OUT017,2541.7200402104645
FDY38,OUT027,3581.550470595801
FDH56,OUT046,1853.249405829727
FDL48,OUT018,501.1387602461109
FDC48,OUT027,1655.2317651218727
FDN33,OUT045,1200.4902197131996
FDA36,OUT017,3090.942937804619
FDT44,OUT017,1515.3115836540856
FDQ56,OUT045,1116.7260150556976
NCC54,OUT019,3440.2937532572723
FDU11,OUT049,1804.2307703570332
DRL59,OUT013,1126.384784466838
FDM24,OUT049,2314.757921555807
FDI57,OUT045,3045.5709735567834
DRC12,OUT018,2931.888923879582
NCM42,OUT027,2046.225562949814
FDA46,OUT010,2410.151206276456
FDA31,OUT013,2700.7185215261306
NCJ31,OUT035,3081.993155131535
FDG52,OUT046,738.6711438746424
NCL19,OUT019,2559.6406321780923
FDS10,OUT035,2825.9727358736272
FDX22,OUT010,3414.2879944965134
NCF19,OUT035,782.6696653176987
NCE06,OUT046,2441.755319280801
DRC27,OUT046,3848.073115834508
FDE21,OUT035,1915.8726221761171
NCR42,OUT019,656.4287565585073
FDX51,OUT018,3094.4276891626105
NCR06,OUT018,764.2133751154324
FDU31,OUT027,3749.1057860628425
FDU59,OUT017,2324.9034218679444
FDR03,OUT027,3624.814845200013
FDS49,OUT027,1357.935916822349
FDD48,OUT010,1847.6554567966487
NCF18,OUT017,2721.856552834073
NCD43,OUT027,2003.4062202181594
NCD54,OUT018,2190.4144596165315
FDY19,OUT010,1749.7086830977823
NCY54,OUT017,2090.196526151274
NCL19,OUT018,2307.2172621477257
FDP23,OUT010,3439.654217474166
FDC26,OUT013,1627.482168299517
FDR14,OUT010,-160.40440133536686
NCS41,OUT035,2819.343023489826
FDF41,OUT035,3484.4897815422555
FDU34,OUT046,1874.052593128763
DRH11,OUT046,883.5056630651561
FDM03,OUT013,1542.6784116979288
FDS31,OUT017,2782.696360962669
FDJ20,OUT017,1566.8347146915112
FDV44,OUT027,3228.6190756078176
FDG02,OUT049,3194.6901774059697
FDA09,OUT013,3235.7799381385994
FDT04,OUT013,521.5688430184382
FDL58,OUT019,3984.041385704757
FDE52,OUT045,1513.090131231882
FDW12,OUT035,2326.4677348933765
FDL51,OUT017,3254.187587000575
NCY42,OUT027,2600.0499190140836
FDR07,OUT017,1266.5986461654356
FDN40,OUT045,2259.1217057053836
FDB35,OUT027,1580.8270204333967
FDA22,OUT017,2394.1440827899387
NCL06,OUT046,4059.1248789385827
FDI35,OUT013,3069.928606210269
NCW42,OUT045,3392.106393266564
NCX06,OUT049,2982.151062414803
